t;x;y;z;Aceleracao_0;Aceleracao_1;Aceleracao_2
0,064;-1,48E-10;2,22E-09;0,04018176;-3,61E-08;9,81;5,43E-07
0,128;-3,14E-10;0,002416978;0,120545142;-4,60E-09;9,809966326;0,590081459
0,192;2,47E-10;0,004836031;0,241090284;1,78E-07;9,809999967;0,000507107
0,256;1,66E-09;0,007257048;0,401817186;2,08E-07;9,809999981;0,000479435
0,32;4,02E-09;0,009679522;0,602725848;2,31E-07;9,809999991;0,000355871
0,384;7,60E-09;0,012103131;0,843816269;2,97E-07;9,809999995;0,000277026
0,448;1,24E-08;0,014527669;1,125088451;2,99E-07;9,809999998;0,000226705
0,512;1,84E-08;0,016953004;1,446542393;2,92E-07;9,809999999;0,000194592
0,576;2,55E-08;0,019379052;1,808178095;2,74E-07;9,81;0,000174104
0,64;3,37E-08;0,021805759;2,209995557;2,49E-07;9,81;0,000161036
0,704;4,28E-08;0,024233092;2,651994778;2,44E-07;9,81;0,000152705
0,768;5,29E-08;0,026661029;3,13417576;2,27E-07;9,81;0,000147399
0,832;6,37E-08;0,029089555;3,656538502;1,92E-07;9,81;0,000144023
0,896;7,53E-08;0,031518663;4,219083004;1,74E-07;9,81;0,000141879
0,96;8,75E-08;0,033948346;4,821809266;1,61E-07;9,81;0,000140523
1,024;1,00E-07;0,036378602;5,464717287;1,55E-07;9,81;0,000139668
1,088;1,14E-07;0,038809427;6,147807069;1,63E-07;9,81;0,000139134
1,152;1,28E-07;0,041240821;6,871078611;1,67E-07;9,81;0,000138805
1,216;1,43E-07;0,043672782;7,634531913;1,97E-07;9,81;0,000138607
1,28;1,59E-07;0,046105311;8,438166975;2,14E-07;9,81;0,000138492
1,344;1,76E-07;0,048538407;9,281983796;2,37E-07;9,81;0,00013843
1,408;1,94E-07;0,05097207;10,16598238;2,59E-07;9,81;0,000138402
1,472;2,13E-07;0,0534063;11,09016272;2,76E-07;9,81;0,000138396
1,536;2,33E-07;0,055841096;12,05452482;2,83E-07;9,81;0,000138403
1,6;2,55E-07;0,058276459;13,05906868;2,80E-07;9,81;0,00013842
1,664;2,77E-07;0,06071239;14,10379431;2,69E-07;9,81;0,000138442
1,728;3,01E-07;0,063148888;15,18870169;2,46E-07;9,81;0,000138468
1,792;3,25E-07;0,065585953;16,31379083;2,15E-07;9,81;0,000138496
1,856;3,50E-07;0,068023585;17,47906173;1,74E-07;9,81;0,000138526
1,92;3,76E-07;0,070461785;18,68451439;1,30E-07;9,81;0,000138557
1,984;4,02E-07;0,072900553;19,93014881;8,49E-08;9,81;0,000138588
2,048;4,28E-07;0,075339888;21,215965;4,20E-08;9,81;0,000138619
2,112;4,54E-07;0,077779791;22,54196294;2,85E-09;9,81;0,000138651
2,176;4,80E-07;0,080220263;23,90814264;-2,89E-08;9,81;0,000138683
2,24;5,06E-07;0,082661302;25,3145041;-5,15E-08;9,81;0,000138715
2,304;5,31E-07;0,08510291;26,76104732;-6,40E-08;9,81;0,000138748
2,368;5,56E-07;0,087545086;28,24777231;-6,58E-08;9,81;0,00013878
2,432;5,81E-07;0,089987831;29,77467905;-5,75E-08;9,81;0,000138812
2,496;6,06E-07;0,092431144;31,34176755;-4,05E-08;9,81;0,000138844
2,56;6,31E-07;0,094875027;32,94903781;-1,68E-08;9,81;0,000138877
2,624;6,56E-07;0,097319478;34,59648983;1,12E-08;9,81;0,000138909
2,688;6,81E-07;0,099764499;36,28412361;4,06E-08;9,81;0,000138941
2,752;7,06E-07;0,102210088;38,01193916;6,89E-08;9,81;0,000138974
2,816;7,32E-07;0,104656247;39,77993646;9,32E-08;9,81;0,000139006
2,88;7,58E-07;0,107102976;41,58811552;1,11E-07;9,81;0,000139038
2,944;7,85E-07;0,109550274;43,43647634;1,22E-07;9,81;0,000139071
3,008;8,12E-07;0,111998142;45,32501892;1,24E-07;9,81;0,000139103
3,072;8,40E-07;0,11444658;47,25374326;1,16E-07;9,81;0,000139135
3,136;8,68E-07;0,116895588;49,22264937;1,00E-07;9,81;0,000139168
3,2;8,96E-07;0,119345166;51,23173723;7,64E-08;9,81;0,0001392
3,264;9,24E-07;0,121795314;53,28100685;4,69E-08;9,81;0,000139233
3,328;9,53E-07;0,124246033;55,37045823;1,32E-08;9,81;0,000139265
3,392;9,82E-07;0,126697322;57,50009137;-2,22E-08;9,81;0,000139297
3,456;1,01E-06;0,129149182;59,66990628;-5,70E-08;9,81;0,00013933
3,52;1,04E-06;0,131601613;61,87990294;-8,91E-08;9,81;0,000139362
3,584;1,07E-06;0,134054615;64,13008136;-1,16E-07;9,81;0,000139395
3,648;1,09E-06;0,136508188;66,42044154;-1,37E-07;9,81;0,000139427
3,712;1,12E-06;0,138962332;68,75098348;-1,51E-07;9,81;0,00013946
3,776;1,14E-06;0,141417048;71,12170718;-1,57E-07;9,81;0,000139492
3,84;1,17E-06;0,143872335;73,53261265;-1,54E-07;9,81;0,000139525
3,904;1,19E-06;0,146328193;75,98369987;-1,44E-07;9,81;0,000139557
3,968;1,22E-06;0,148784624;78,47496885;-1,28E-07;9,81;0,00013959
4,032;1,24E-06;0,151241626;81,00641959;-1,07E-07;9,81;0,000139622
4,096;1,26E-06;0,1536992;83,57805209;-8,29E-08;9,81;0,000139655
4,16;1,29E-06;0,156157347;86,18986636;-5,72E-08;9,81;0,000139687
4,224;1,31E-06;0,158616065;88,84186238;-3,18E-08;9,81;0,00013972
4,288;1,33E-06;0,161075357;91,53404016;-8,52E-09;9,81;0,000139752
4,352;1,35E-06;0,16353522;94,2663997;1,11E-08;9,81;0,000139785
4,416;1,38E-06;0,165995657;97,038941;2,60E-08;9,81;0,000139817
4,48;1,40E-06;0,168456666;99,85166406;3,52E-08;9,81;0,00013985
4,544;1,42E-06;0,170918248;102,7045689;3,84E-08;9,81;0,000139883
4,608;1,45E-06;0,173380403;105,5976555;3,56E-08;9,81;0,000139915
4,672;1,47E-06;0,175843132;108,5309238;2,73E-08;9,81;0,000139948
4,736;1,49E-06;0,178306434;111,5043739;1,43E-08;9,81;0,00013998
4,8;1,52E-06;0,180770309;114,5180058;-2,22E-09;9,81;0,000140013
4,864;1,54E-06;0,183234758;117,5718194;-2,10E-08;9,81;0,000140045
4,928;1,56E-06;0,185699781;120,6658148;-4,05E-08;9,81;0,000140078
4,992;1,59E-06;0,188157933;123,7999919;-4,54E-08;9,81;-0,00167748
5,056;1,61E-06;0,19057817;126,9743508;-6,20E-09;9,809999991;-0,009256588
5,12;1,67E-06;0,19299448;130,1888915;8,69E-06;9,809999999;-0,000958573
5,184;1,78E-06;0,195411279;133,4436139;1,38E-05;9,81;0,000119295
5,248;1,94E-06;0,197828391;136,7385181;1,06E-05;9,81;7,62E-05
5,312;2,14E-06;0,200245701;140,073604;8,62E-06;9,81;4,86E-05
5,376;2,36E-06;0,202663139;143,4488717;7,43E-06;9,81;3,09E-05
5,44;2,61E-06;0,205080656;146,8643212;6,71E-06;9,81;1,96E-05
5,504;2,89E-06;0,207498225;150,3199524;6,30E-06;9,81;1,24E-05
5,568;3,19E-06;0,209915825;153,8157654;6,05E-06;9,81;7,73E-06
5,632;3,52E-06;0,212333444;157,3517601;5,92E-06;9,81;4,75E-06
5,696;3,87E-06;0,214751075;160,9279366;5,85E-06;9,81;2,85E-06
5,76;4,24E-06;0,217168713;164,5442949;5,81E-06;9,81;1,63E-06
5,824;4,64E-06;0,219586354;168,2008349;5,80E-06;9,81;8,45E-07
5,888;5,06E-06;0,222003997;171,8975567;5,79E-06;9,81;3,44E-07
5,952;5,51E-06;0,22442164;175,6344602;5,78E-06;9,81;2,34E-08
6,016;5,98E-06;0,226839282;179,4115455;5,78E-06;9,81;-1,82E-07
6,08;6,47E-06;0,229256923;183,2288126;5,77E-06;9,81;-3,13E-07
6,144;6,99E-06;0,231674562;187,0862614;5,75E-06;9,81;-3,98E-07
6,208;7,53E-06;0,234092199;190,983892;5,73E-06;9,81;-4,52E-07
6,272;8,09E-06;0,236509834;194,9217044;5,70E-06;9,81;-4,86E-07
6,336;8,68E-06;0,238927467;198,8996985;5,66E-06;9,81;-5,08E-07
6,4;9,29E-06;0,241345098;202,9178743;5,61E-06;9,81;-5,22E-07
